1216531,1,11,2,V Kohli,S Dube,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,11,3,S Dube,V Kohli,GJ Maxwell,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,11,4,S Dube,V Kohli,GJ Maxwell,2,0,2,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,11,5,S Dube,V Kohli,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,11,6,V Kohli,S Dube,GJ Maxwell,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,12,1,V Kohli,S Dube,Ravi Bishnoi,1,0,1,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1216531,1,12,2,S Dube,V Kohli,Ravi Bishnoi,0,0,0,0,0,NA,NA,NA,NA,Royal Challengers Bangalore,Kings XI Punjab
1136573,2,4,2,RR Pant,GJ Maxwell,Shivam Mavi,0,1,1,0,0,NA,NA,NA,legbyes,Delhi Daredevils,Kolkata Knight Riders
1136573,2,4,3,GJ Maxwell,RR Pant,Shivam Mavi,0,1,1,0,0,NA,NA,NA,legbyes,Delhi Daredevils,Kolkata Knight Riders
1136573,2,4,4,RR Pant,GJ Maxwell,Shivam Mavi,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,4,5,GJ Maxwell,RR Pant,Shivam Mavi,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,4,6,GJ Maxwell,RR Pant,Shivam Mavi,0,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,1,RR Pant,GJ Maxwell,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,2,GJ Maxwell,RR Pant,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,3,RR Pant,GJ Maxwell,SP Narine,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,4,RR Pant,GJ Maxwell,SP Narine,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,5,RR Pant,GJ Maxwell,SP Narine,0,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,5,6,RR Pant,GJ Maxwell,SP Narine,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,1,RR Pant,GJ Maxwell,PP Chawla,6,0,6,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,2,RR Pant,GJ Maxwell,PP Chawla,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,3,RR Pant,GJ Maxwell,PP Chawla,0,0,0,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,4,RR Pant,GJ Maxwell,PP Chawla,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,5,GJ Maxwell,RR Pant,PP Chawla,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,6,6,RR Pant,GJ Maxwell,PP Chawla,0,1,1,0,0,NA,NA,NA,legbyes,Delhi Daredevils,Kolkata Knight Riders
1136573,2,7,1,RR Pant,GJ Maxwell,TK Curran,4,0,4,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
1136573,2,7,2,RR Pant,GJ Maxwell,TK Curran,1,0,1,0,0,NA,NA,NA,NA,Delhi Daredevils,Kolkata Knight Riders
